Experiment	Frequency Sweep	
Date	17.02.2021 13:15:05	
User		
f_res (Hz)	21473,9993	
Q	1762	
Phase (deg)	-126,26	
Amp/Exc (nm/mV)	0,882419	
Number of points	2000	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-54.5432E+0	21.4915E+3	15.5835E-9	73.2274E+0
-54.4668E+0	21.4915E+3	13.1867E-9	69.9970E+0
-54.3905E+0	21.4915E+3	14.6675E-9	68.3424E+0
-54.3142E+0	21.4915E+3	14.4729E-9	81.9555E+0
-54.2378E+0	21.4915E+3	14.1279E-9	78.0582E+0
-54.1615E+0	21.4915E+3	15.6937E-9	75.3522E+0
-54.0851E+0	21.4915E+3	14.8891E-9	77.0347E+0
-54.0088E+0	21.4915E+3	14.6877E-9	75.9893E+0
-53.9325E+0	21.4915E+3	15.5159E-9	72.2926E+0
-53.8561E+0	21.4915E+3	14.4060E-9	78.3378E+0
-53.7798E+0	21.4915E+3	15.0550E-9	76.1506E+0
-53.7034E+0	21.4915E+3	14.8369E-9	77.8958E+0
-53.6271E+0	21.4915E+3	15.4699E-9	75.6901E+0
-53.5508E+0	21.4915E+3	15.2015E-9	72.1198E+0
-53.4744E+0	21.4915E+3	14.0354E-9	74.2611E+0
-53.3981E+0	21.4915E+3	15.5140E-9	79.9016E+0
-53.3217E+0	21.4915E+3	15.1932E-9	72.3072E+0
-53.2454E+0	21.4915E+3	14.7332E-9	78.3163E+0
-53.1691E+0	21.4915E+3	15.5482E-9	79.1435E+0
-53.0927E+0	21.4915E+3	14.5495E-9	74.7513E+0
-53.0164E+0	21.4915E+3	15.8647E-9	79.7884E+0
-52.9400E+0	21.4915E+3	14.0911E-9	78.9407E+0
-52.8637E+0	21.4915E+3	15.2477E-9	79.0062E+0
-52.7874E+0	21.4915E+3	14.6476E-9	67.9792E+0
-52.7110E+0	21.4915E+3	14.9391E-9	75.8236E+0
-52.6347E+0	21.4915E+3	15.3990E-9	72.8221E+0
-52.5583E+0	21.4915E+3	15.4399E-9	76.2696E+0
-52.4820E+0	21.4915E+3	15.4842E-9	77.1582E+0
-52.4057E+0	21.4915E+3	15.6854E-9	82.9092E+0
-52.3293E+0	21.4915E+3	14.1989E-9	71.5651E+0
-52.2530E+0	21.4915E+3	14.9589E-9	81.1992E+0
-52.1767E+0	21.4915E+3	14.1389E-9	82.4125E+0
-52.1003E+0	21.4915E+3	15.9459E-9	82.9882E+0
-52.0240E+0	21.4915E+3	15.4003E-9	80.9667E+0
-51.9476E+0	21.4915E+3	15.0869E-9	86.0539E+0
-51.8713E+0	21.4915E+3	15.3161E-9	77.8314E+0
-51.7950E+0	21.4915E+3	15.0267E-9	76.7226E+0
-51.7186E+0	21.4915E+3	14.9812E-9	80.9481E+0
-51.6423E+0	21.4915E+3	16.1843E-9	76.7713E+0
-51.5659E+0	21.4915E+3	15.1553E-9	80.1582E+0
-51.4896E+0	21.4915E+3	14.8627E-9	82.4629E+0
-51.4133E+0	21.4915E+3	15.7819E-9	82.8959E+0
-51.3369E+0	21.4915E+3	15.3593E-9	77.9999E+0
-51.2606E+0	21.4915E+3	14.6908E-9	81.1428E+0
-51.1842E+0	21.4915E+3	15.1329E-9	82.8326E+0
-51.1079E+0	21.4915E+3	16.1623E-9	78.1224E+0
-51.0316E+0	21.4915E+3	15.5788E-9	84.6028E+0
-50.9552E+0	21.4915E+3	15.6470E-9	77.8428E+0
-50.8789E+0	21.4915E+3	15.0958E-9	85.9812E+0
-50.8025E+0	21.4915E+3	15.6921E-9	82.3819E+0
-50.7262E+0	21.4915E+3	15.9063E-9	83.1896E+0
-50.6499E+0	21.4915E+3	15.0538E-9	79.5245E+0
-50.5735E+0	21.4915E+3	15.3397E-9	79.7652E+0
-50.4972E+0	21.4915E+3	15.0310E-9	76.7353E+0
-50.4208E+0	21.4915E+3	16.1594E-9	83.9833E+0
-50.3445E+0	21.4915E+3	15.7230E-9	77.6573E+0
-50.2682E+0	21.4915E+3	15.7685E-9	83.7931E+0
-50.1918E+0	21.4915E+3	15.2650E-9	80.6753E+0
-50.1155E+0	21.4915E+3	16.0919E-9	77.0416E+0
-50.0391E+0	21.4915E+3	16.1888E-9	79.8986E+0
-49.9628E+0	21.4915E+3	16.5799E-9	80.8994E+0
-49.8865E+0	21.4915E+3	14.5998E-9	79.7262E+0
-49.8101E+0	21.4915E+3	16.4098E-9	84.6934E+0
-49.7338E+0	21.4915E+3	16.2919E-9	82.6555E+0
-49.6574E+0	21.4915E+3	16.1791E-9	84.2128E+0
-49.5811E+0	21.4915E+3	16.4073E-9	81.3952E+0
-49.5048E+0	21.4915E+3	15.6225E-9	86.5430E+0
-49.4284E+0	21.4915E+3	15.6677E-9	74.1941E+0
-49.3521E+0	21.4915E+3	15.8363E-9	79.8871E+0
-49.2757E+0	21.4915E+3	15.5364E-9	84.7931E+0
-49.1994E+0	21.4915E+3	16.7063E-9	87.2265E+0
-49.1231E+0	21.4915E+3	16.0161E-9	80.8307E+0
-49.0467E+0	21.4915E+3	15.1820E-9	83.8754E+0
-48.9704E+0	21.4915E+3	15.8691E-9	85.1087E+0
-48.8940E+0	21.4915E+3	16.5079E-9	82.0354E+0
-48.8177E+0	21.4915E+3	15.4316E-9	81.0339E+0
-48.7414E+0	21.4915E+3	16.3346E-9	77.7692E+0
-48.6650E+0	21.4915E+3	15.6784E-9	83.5169E+0
-48.5887E+0	21.4915E+3	15.0870E-9	86.0925E+0
-48.5123E+0	21.4915E+3	16.6449E-9	85.0617E+0
-48.4360E+0	21.4915E+3	15.0556E-9	82.7472E+0
-48.3597E+0	21.4915E+3	16.9931E-9	87.0771E+0
-48.2833E+0	21.4915E+3	14.9956E-9	87.7805E+0
-48.2070E+0	21.4915E+3	16.4080E-9	86.5234E+0
-48.1306E+0	21.4915E+3	14.6555E-9	88.7699E+0
-48.0543E+0	21.4915E+3	16.2508E-9	83.5082E+0
-47.9780E+0	21.4915E+3	17.0458E-9	86.3158E+0
-47.9016E+0	21.4915E+3	16.1805E-9	83.9847E+0
-47.8253E+0	21.4915E+3	16.6743E-9	91.2203E+0
-47.7489E+0	21.4915E+3	16.3769E-9	81.3824E+0
-47.6726E+0	21.4915E+3	15.8443E-9	85.1602E+0
-47.5963E+0	21.4915E+3	16.0944E-9	86.9818E+0
-47.5199E+0	21.4915E+3	16.0080E-9	84.4151E+0
-47.4436E+0	21.4915E+3	16.8925E-9	85.2847E+0
-47.3672E+0	21.4915E+3	16.4747E-9	89.7547E+0
